timestamp,src_ip,dst_ip,src_port,dst_port,txid,input_addresses,output_addresses,input_amounts,output_amounts,geo_country,asn
2026-08-05T07:55:00Z,192.0.2.145,192.0.2.186,19851,8333,tx_csv_0043,bc1qcsvHV0129,bc1qcsvHV0130,132.02097171,131.98136542,US,64504
2026-08-03T02:01:00Z,192.0.2.51,192.0.2.73,45527,8332,tx_csv_0011,bc1qcsv0026,bc1qcsv0027,1.1015882,1.10079474,DE,64503
2026-08-04T08:41:00Z,192.0.2.40,192.0.2.205,56943,18333,tx_csv_0028,bc1qcsv0067,bc1qcsv0068,0.33990162,0.33961436,RU,64504
2026-08-04T20:48:00Z,192.0.2.154,192.0.2.74,56970,8332,tx_csv_0034,bc1qcsvMI0089|bc1qcsvMI0090|bc1qcsvMI0091|bc1qcsvMI0092|bc1qcsvMI0093,bc1qcsv0094,0.32019287|1.04713048|1.20306414|1.10404614|0.44099436,4.11142049,RU,64501
2026-08-04T21:43:00Z,192.0.2.194,192.0.2.180,42027,8333,tx_csv_0036,bc1qcsvPEEL0099,bc1qcsvPEEL0100|bc1qcsvPEELCHG0101,10.83199754,10.65410546|0.17247609,IN,64500
2026-08-03T14:55:00Z,192.0.2.15,192.0.2.70,37248,18333,tx_csv_0019,bc1qcsv0045,bc1qcsv0046,1.16055703,1.16008311,SG,64503
2026-08-03T15:03:00Z,192.0.2.107,192.0.2.239,30651,18333,tx_csv_0020,bc1qcsv0047,bc1qcsv0048,1.54869823,1.54789501,NL,64500
2026-08-04T22:11:00Z,192.0.2.194,192.0.2.180,9964,8333,tx_csv_0037,bc1qcsvPEEL0100,bc1qcsvPEEL0102|bc1qcsvPEELCHG0103,10.65410546,10.50555283|0.14322558,IN,64500
2026-08-03T09:29:00Z,192.0.2.105,192.0.2.104,42859,8333,tx_csv_0015,bc1qcsv0035,bc1qcsv0036,0.04685789,0.04684756,DE,64502
2026-08-05T13:57:00Z,192.0.2.32,192.0.2.49,10232,8333,tx_csv_0046,bc1qcsvBURST0134,bc1qcsvBURSTOUT0135,0.2589766,0.25884711,SG,64502
2026-08-04T00:52:00Z,192.0.2.34,192.0.2.149,44262,8332,tx_csv_0025,bc1qcsv0059|bc1qcsv0060,bc1qcsv0061|bc1qcsv0062,1.02728497|0.46130252,1.32588301|0.16176161,DE,64504
2026-08-03T18:57:00Z,192.0.2.61,192.0.2.189,13625,18333,tx_csv_0023,bc1qcsv0055,bc1qcsv0056,0.53770759,0.5375384,US,64504
2026-08-03T18:28:00Z,192.0.2.20,192.0.2.39,31797,18333,tx_csv_0022,bc1qcsv0052|bc1qcsv0053,bc1qcsv0054,1.38550202|1.95360055,3.33637031,DE,64504
2026-08-04T22:51:00Z,192.0.2.194,192.0.2.180,16922,8333,tx_csv_0038,bc1qcsvPEEL0102,bc1qcsvPEEL0104|bc1qcsvPEELCHG0105,10.50555283,10.35906241|0.14123764,IN,64500
2026-08-03T01:42:00Z,192.0.2.228,192.0.2.81,23146,8332,tx_csv_0010,bc1qcsv0023,bc1qcsv0024|bc1qcsv0025,1.86650991,1.73033478|0.13506903,US,64500
2026-08-03T15:17:00Z,192.0.2.179,192.0.2.224,18455,18333,tx_csv_0021,bc1qcsv0049,bc1qcsv0050|bc1qcsv0051,1.90927478,1.47842034|0.429826,RU,64500
2026-08-03T02:42:00Z,192.0.2.164,192.0.2.103,57169,18333,tx_csv_0013,bc1qcsv0030,bc1qcsv0031,0.56838416,0.56782743,US,64500
2026-08-05T06:47:00Z,192.0.2.46,192.0.2.235,46548,8333,tx_csv_0041,bc1qcsvCJ0118|bc1qcsvCJ0119|bc1qcsvCJ0120|bc1qcsvCJ0121|bc1qcsvCJ0122,bc1qcsvCJ0123|bc1qcsvCJ0124|bc1qcsvCJ0125|bc1qcsvCJ0126|bc1qcsvCJ0127,0.3213654|0.3224094|0.32289798|0.32197558|0.32243015,0.32169802|0.32169802|0.32169802|0.32169802|0.32169802,SG,64503
2026-08-03T10:05:00Z,192.0.2.96,192.0.2.8,30343,18333,tx_csv_0016,bc1qcsv0037|bc1qcsv0038,bc1qcsv0039,1.03754346|0.44013354,1.47664494,US,64502
2026-08-04T06:59:00Z,192.0.2.137,192.0.2.17,7334,8332,tx_csv_0027,bc1qcsv0065,bc1qcsv0066,1.51023726,1.50913475,IN,64502
